CODE / NAME,LAST PRICE,$ / % CHANGE
"HLI
					 HELIA GROUP LIMITED",3.610,-1.240 (-25.567%)
"JHX
					 JAMES HARDIE INDUSTRIES PLC",40.000,-6.800 (-14.530%)
"BGL
					 BELLEVUE GOLD LIMITED",1.155,-0.170 (-12.831%)
"CU6
					 CLARITY PHARMACEUTICALS LTD",2.520,-0.260 (-9.353%)
"NHC
					 NEW HOPE CORPORATION LIMITED",3.930,-0.180 (-4.380%)
"360
					 LIFE360 INC.",20.360,-0.930 (-4.369%)
"EMR
					 EMERALD RESOURCES NL",3.850,-0.150 (-3.750%)
"BOE
					 BOSS ENERGY LTD",2.780,-0.100 (-3.473%)
"VAU
					 VAULT MINERALS LIMITED",0.450,-0.015 (-3.226%)
"NWH
					 NRW HOLDINGS LIMITED",2.790,-0.090 (-3.125%)
